;Longitude;Latitude;Data;VentoC;Pressao;Temperatura;DirecaoVento
235;-42.75;-14.25;2017-01-10 19:00:00;4.912;880.0;27.65;89.62
236;-42.75;-14.25;2017-01-10 20:00:00;5.723;880.5;27.434;97.33
237;-42.75;-14.25;2017-01-10 21:00:00;6.338;881.166;26.834;81.02
238;-42.75;-14.25;2017-01-10 22:00:00;7.632;881.666;25.834;100.7
239;-42.75;-14.25;2017-01-10 23:00:00;9.006;882.0;23.534;107.53
240;-42.75;-14.25;2017-01-11 00:00:00;8.471;881.834;22.35;111.18
241;-42.75;-14.25;2017-01-11 01:00:00;8.258;881.0;20.716;111.27
242;-42.75;-14.25;2017-01-11 02:00:00;8.704;880.666;19.433;111.65
243;-42.75;-14.25;2017-01-11 03:00:00;9.237;880.0;18.483;111.65
244;-42.75;-14.25;2017-01-11 04:00:00;9.19;880.834;17.85;112.85
245;-42.75;-14.25;2017-01-11 05:00:00;7.745;880.666;17.467;113.38
246;-42.75;-14.25;2017-01-11 06:00:00;6.454;881.166;17.25;113.08
247;-42.75;-14.25;2017-01-11 07:00:00;3.715;882.334;17.5;108.28
248;-42.75;-14.25;2017-01-11 08:00:00;3.955;883.166;18.566;94.83
249;-42.75;-14.25;2017-01-11 09:00:00;3.265;884.0;21.767;100.05
250;-42.75;-14.25;2017-01-11 10:00:00;3.184;884.0;23.6;273.93
251;-42.75;-14.25;2017-01-11 11:00:00;3.626;883.834;24.667;95.05
252;-42.75;-14.25;2017-01-11 12:00:00;3.947;883.0;25.334;122.45
253;-42.75;-14.25;2017-01-11 13:00:00;4.027;882.5;26.966;132.2
254;-42.75;-14.25;2017-01-11 14:00:00;4.482;881.5;27.3;133.53
255;-42.75;-14.25;2017-01-11 15:00:00;5.652;880.666;27.45;115.63
256;-42.75;-14.25;2017-01-11 16:00:00;5.708;880.0;28.15;130.98
257;-42.75;-14.25;2017-01-11 17:00:00;5.995;880.0;27.6;104.43
258;-42.75;-14.25;2017-01-11 18:00:00;6.662;880.166;26.95;96.87
259;-42.75;-14.25;2017-01-11 19:00:00;8.175;881.0;26.617;104.57
260;-42.75;-14.25;2017-01-11 20:00:00;6.758;881.334;26.283;98.1
261;-42.75;-14.25;2017-01-11 21:00:00;3.747;882.0;25.867;122.97
262;-42.75;-14.25;2017-01-11 22:00:00;4.715;882.0;21.2;326.93
263;-42.75;-14.25;2017-01-11 23:00:00;5.445;882.0;21.484;328.83
264;-42.75;-14.25;2017-01-12 00:00:00;5.438;882.0;21.35;326.02
265;-42.75;-14.25;2017-01-12 01:00:00;5.139;881.166;21.366;335.37
266;-42.75;-14.25;2017-01-12 02:00:00;5.435;881.0;21.416;322.02
267;-42.75;-14.25;2017-01-12 03:00:00;5.006;881.0;21.216;311.25
268;-42.75;-14.25;2017-01-12 04:00:00;2.895;881.334;21.0;318.65
269;-42.75;-14.25;2017-01-12 05:00:00;2.002;882.0;20.567;195.32
270;-42.75;-14.25;2017-01-12 06:00:00;2.192;882.666;20.766;135.5
271;-42.75;-14.25;2017-01-12 07:00:00;1.856;883.334;22.084;120.45
272;-42.75;-14.25;2017-01-12 08:00:00;2.416;884.0;22.7;127.22
273;-42.75;-14.25;2017-01-12 09:00:00;2.042;884.0;23.166;94.87
274;-42.75;-14.25;2017-01-12 10:00:00;2.015;884.0;24.566;200.13
